Borough,Longitude,Latitude,LatinSpecies
Manhattan,-73.971849,40.74798,PYRUS CALLERYANA
Brooklyn,-74.000866,40.686801,PYRUS CALLERYANA
Queens,-73.77351800000001,40.757525,ACER PSEUDOPLATANUS
Queens,1.0,1.0,PLATANUS ACERIFOLIA
Brooklyn,-73.981127,40.687072,QUERCUS PALUSTRIS
Bronx,-73.838934,40.862961,ACER SACCHARINUM
Brooklyn,-73.997062,40.696351,ACER SACCHARUM
Queens,-73.736159,40.722811,UNKNOWN DEAD TREES 
Queens,-73.787565,40.68678,UNKNOWN DEAD TREES 
Brooklyn,-74.03262600000001,40.614841,ACER PLATANOIDES
Brooklyn,-73.913061,40.686607,GLEDITSIA TRIACANTHOS
Queens,-73.814941,40.683766,ACER PLATANOIDES
Queens,-73.732477,40.692337,ACER PLATANOIDES
Queens,-73.77004699999999,40.716337,ACER SACCHARUM
Queens,-73.833937,40.654734999999995,UNKNOWN LIVE TREES 
Staten Island,-74.153666,40.564978,PLATANUS ACERIFOLIA
Brooklyn,-73.969367,40.62575,ACER PLATANOIDES
Brooklyn,-73.959283,40.687465,PLANTING SITE
Bronx,-73.842742,40.902439,ACER PLATANOIDES
Queens,-73.841779,40.790719,ACER SACCHARINUM
Queens,-73.81854799999999,40.777471999999996,UNKNOWN DEAD TREES 
Bronx,-73.896627,40.832283000000004,TILIA CORDATA
Staten Island,-74.12854399999999,40.614853000000004,PLATANUS ACERIFOLIA
Queens,-73.77079599999999,40.699714,ACER PLATANOIDES
Queens,1.0,1.0,ACER PLATANOIDES
Bronx,-73.902654,40.873912,GLEDITSIA TRIACANTHOS
Queens,-73.86107700000001,40.751876,ACER PLATANOIDES
Staten Island,-74.164089,40.594,ACER SACCHARINUM
Queens,-73.711935,40.730109000000006,PYRUS CALLERYANA
Staten Island,-74.149546,40.612501,QUERCUS PALUSTRIS
Manhattan,-73.94602900000001,40.796313,PLANTING SITE
Brooklyn,-73.928635,40.646392,PLATANUS ACERIFOLIA
Brooklyn,-73.940831,40.608124,ACER SACCHARINUM
Brooklyn,-73.91386800000001,40.641682,PLATANUS ACERIFOLIA
Queens,-73.78749499999999,40.736165,ACER PLATANOIDES
Queens,-73.834188,40.68513,ACER PLATANOIDES
Queens,-73.78424100000001,40.746373,ACER PLATANOIDES
Brooklyn,-73.949499,40.683345,QUERCUS PALUSTRIS
Bronx,1.0,1.0,GLEDITSIA TRIACANTHOS
Brooklyn,-73.97241600000001,40.575979,ACER PSEUDOPLATANUS
Queens,-73.869169,40.741318,ACER RUBRUM
Bronx,-73.816976,40.831848,ACER RUBRUM
Staten Island,-74.168566,40.532573,ACER RUBRUM
Manhattan,-73.954364,40.808987,ACER PSEUDOPLATANUS
Brooklyn,-73.991395,40.697553000000006,QUERCUS PALUSTRIS
Queens,-73.85325300000001,40.685175,PLANTING SITE
Queens,-73.747483,40.707097,ACER PLATANOIDES
Staten Island,-74.245397,40.501427,PYRUS CALLERYANA
Brooklyn,-73.937881,40.725902000000005,ACER PLATANOIDES
Queens,-73.739111,40.712802,UNKNOWN DEAD TREES 
Queens,-73.922514,40.771258,QUERCUS PALUSTRIS
Queens,-73.82610600000001,40.730621,ACER PLATANOIDES
Queens,-73.824775,40.732442,UNKNOWN LIVE TREES 
Queens,-73.82591500000001,40.706713,PRUNUS CERASIFERA
Queens,-73.856685,40.682349,PLATANUS ACERIFOLIA
Brooklyn,-73.941348,40.717591,PLATANUS ACERIFOLIA
Manhattan,-73.978786,40.774881,SOPHORA JAPONICA
Queens,-73.754837,40.758228,QUERCUS PALUSTRIS
Queens,-73.914117,40.763481,PLATANUS ACERIFOLIA
Brooklyn,-73.90834,40.69154,TILIA CORDATA
Brooklyn,-73.90065899999999,40.61484,PLATANUS ACERIFOLIA
Staten Island,-74.18429499999999,40.539970000000004,ACER SACCHARINUM
Queens,-73.724056,40.755818,ACER RUBRUM
Staten Island,-74.17740699999999,40.532856,ACER PLATANOIDES
Staten Island,-74.075525,40.59704,ACER SACCHARINUM
Queens,-73.813536,40.786106,TILIA CORDATA
Staten Island,-74.190263,40.529099,ACER RUBRUM
Bronx,1.0,1.0,ACER PLATANOIDES
Brooklyn,-73.889708,40.681507,GLEDITSIA TRIACANTHOS
Brooklyn,-73.911725,40.652495,ACER PLATANOIDES
Brooklyn,-74.03670100000001,40.631262,PLATANUS ACERIFOLIA
Queens,-73.85059,40.71945,ACER SACCHARUM
Queens,-73.736391,40.700824,PLATANUS ACERIFOLIA
Queens,-73.759328,40.701498,ACER PLATANOIDES
Bronx,-73.851186,40.859964,ACER PLATANOIDES
Staten Island,-74.09299200000001,40.609256,PICEA ABIES
Queens,1.0,1.0,ACER PLATANOIDES
Queens,-73.751491,40.745043,PLATANUS ACERIFOLIA
Staten Island,-74.11260300000001,40.630907,ACER SACCHARINUM
Queens,1.0,1.0,UNKNOWN DEAD TREES 
Brooklyn,-73.979535,40.65341,PLATANUS ACERIFOLIA
Brooklyn,-73.981034,40.594671000000005,PLATANUS ACERIFOLIA
Queens,-73.79469399999999,40.764755,PLATANUS ACERIFOLIA
Brooklyn,-73.899479,40.643910999999996,ACER SACCHARINUM
Queens,1.0,1.0,ACER PLATANOIDES
Staten Island,-74.07113100000001,40.601428999999996,AESCULUS HIPPOCASTANUM
Queens,-73.904321,40.702269,ACER PLATANOIDES
Bronx,-73.858941,40.886492,ULMUS AMERICANA
Staten Island,-74.239001,40.502804,FRAXINUS PENNSYLVANICA
Queens,-73.92444,40.774097999999995,ACER SACCHARUM
Staten Island,-74.076992,40.594586,ACER PLATANOIDES
Staten Island,-74.171225,40.557232,ACER PLATANOIDES
Queens,-73.731652,40.724371000000005,PLATANUS ACERIFOLIA
Queens,-73.830122,40.75605,QUERCUS PALUSTRIS
Staten Island,-74.16949,40.559492,ACER SACCHARINUM
Brooklyn,-73.959648,40.591336,NYSSA SYLVATICA
Manhattan,-74.013136,40.702054,SOPHORA JAPONICA
Queens,-73.767543,40.714009000000004,ACER SACCHARUM
Brooklyn,-73.992203,40.629605,ACER PLATANOIDES
Staten Island,-74.14431400000001,40.559754,ACER PLATANOIDES
Brooklyn,-73.97778199999999,40.670138,PLATANUS ACERIFOLIA
Queens,-73.745805,40.749623,PLATANUS ACERIFOLIA
Brooklyn,-73.94126700000001,40.654128,PLATANUS ACERIFOLIA
Manhattan,-73.975001,40.780066,FRAXINUS PENNSYLVANICA
Queens,-73.785186,40.784223,ACER SACCHARINUM
Queens,1.0,1.0,PLATANUS ACERIFOLIA
Brooklyn,-73.999202,40.64113,PLATANUS ACERIFOLIA
Brooklyn,-73.976162,40.615321,TILIA CORDATA
Brooklyn,-73.99266999999999,40.597269,ACER PLATANOIDES
Brooklyn,-73.97069,40.581995,PLATANUS ACERIFOLIA
Queens,-73.80464,40.722636,ACER PLATANOIDES
Queens,-73.83180300000001,40.751652,QUERCUS PALUSTRIS
Queens,-73.89214399999999,40.76247,ACER PLATANOIDES
Brooklyn,-73.91739,40.620940000000004,QUERCUS PALUSTRIS
Queens,-73.786321,40.742271,TILIA CORDATA
Queens,1.0,1.0,PLATANUS ACERIFOLIA
